word,translation,pronunciation,partOfSpeech,definition,exampleSentence
university,大学,/ˌjunəˈvərsəti/,noun,a place for higher education - learn advanced things,I study at university.
school,学校,/skul/,noun,a place for learning - study here,School starts at eight.
high school,高中,/haɪ skul/,noun,a school for teenagers - before college,I went to high school here.
campus,校园,/ˈkæmpəs/,noun,the grounds of a school - buildings and lawns,The campus is beautiful.
library,图书馆,/ˈlaɪbrɛˌri/,noun,a place with books to read - quiet study,Study in the library.
classroom,教室,/ˈklæsˌrum/,noun,a room for teaching - learn here,The classroom is full.
cafeteria,食堂,/ˌkæfəˈtɪriə/,noun,a place to eat at school - lunch time,Eat lunch in the cafeteria.
canteen,,/kænˈtin/,noun,a place to eat at school - British word,The canteen is crowded.
gym,健身房,/ʤɪm/,noun,a place for exercise - work out,I go to the gym.
laboratory,实验室,/ˈlæbrəˌtɔri/,noun,a room for experiments - science,We have class in the laboratory.
lab,实验室,/læb/,noun,a room for experiments - short for laboratory,The lab is closed.
secretary,秘书,/ˈsɛkrəˌtɛri/,noun,a person who does office work - organizes things,Talk to the secretary.
department,部门,/dɪˈpɑrtmənt/,noun,a division of an organization - section,Which department?
to study,学习,/ˈstədi/,verb,to learn by reading and practicing - work hard,I study English.
to learn,学习,/lərn/,verb,to gain knowledge - understand,I want to learn French.
lesson,课程,/ˈlɛsən/,noun,a period of teaching - class,The lesson is interesting.
course,课程,/kɔrs/,noun,a series of lessons - program,I take a course online.
exam,考试,/ɪgˈzæm/,noun,a test of knowledge - show what you know,The exam is difficult.
examination,考试,/ɪgˌzæməˈneɪʃən/,noun,a formal test - important,The examination is tomorrow.
homework,作业,/ˈhoʊmˌwərk/,noun,work done at home - practice,Do your homework.
book,书,/bʊk/,noun,pages bound together with writing - read it,Read this book.
notebook,笔记本,/ˈnoʊtˌbʊk/,noun,a book for writing notes - take notes,Write in your notebook.
student,学生,/ˈstudənt/,noun,a person who studies - learner,She is a good student.
professor,教师,/prəˈfɛsər/,noun,a teacher at a university - expert,The professor is smart.
teacher,教师,/ˈtiʧər/,noun,a person who teaches - educator,My teacher is kind.
classmate,同学,/ˈklæsˌmeɪt/,noun,a person in your class - study together,She was my classmate.
company,企业,/ˈkəmpəˌni/,noun,a business organization - workplace,I work for a company.
business,企业,/ˈbɪznɪs/,noun,an organization that makes money - enterprise,It's good business.
office,办公室,/ˈɔfəs/,noun,a place where people work - desk job,I work in an office.
factory,工厂,/ˈfæktəri/,noun,a building where things are made - production,The factory is closed.
shop,商店,/ʃɑp/,noun,"a fun place where you can buy toys, clothes, and all sorts of things",Let's go to the shop after school.
store,商店,/stɔr/,noun,"a place full of things you can buy, like a big treasure box",This store has great prices.
work,工作,/wərk/,verb,activities done for money - job,I work every day.
profession,职业,/prəˈfɛʃən/,noun,a type of job - career,What's your profession?
job,职业,/ʤɑb/,noun,work you do for money - employment,I love my job.
doctor,医生,/ˈdɔktər/,noun,a person who treats illness - helps you get better,See a doctor.
nurse,护士,/nərs/,noun,a person who helps doctors - takes care of patients,She is a nurse.
teacher,教师,/ˈtiʧər/,noun,a person who teaches - educator,My teacher is kind.
professor,教师,/prəˈfɛsər/,noun,a teacher at a university - expert,The professor is smart.
engineer,工程师,/ˈɛnʤəˈnɪr/,noun,a person who designs things - builds stuff,He is an engineer.
cook,做饭,/kʊk/,verb,a person who prepares food - chef,I cook dinner.
chef,厨师,/ʃɛf/,noun,a professional cook who makes amazing food in restaurants,The chef cooked a wonderful meal.
waiter,服务员,/ˈweɪtər/,noun,a person who brings you food and takes your order at restaurants,The waiter was very friendly.
waitress,服务员,/ˈweɪtrəs/,noun,a woman who serves you food and drinks at restaurants,The waitress took our order.
salesperson,售货员,/ˈseɪlzˌpərsən/,noun,a person who sells things - helps customers,The salesperson helped me.
lawyer,律师,/ˈlɔjər/,noun,a person who practices law - legal expert,She is a lawyer.
to work,工作,/wərk/,verb,to do your job - earn money,Does this work?
colleague,同事,/ˈkɑlig/,noun,a person you work with - coworker,My colleague is helpful.
boss,老板,/bɔs/,noun,the person you work for - in charge,My boss is strict.
salary,工资,/ˈsæləri/,noun,money you earn from work - pay,What's your salary?
vacation,假期,/veɪˈkeɪʃən/,noun,time off from work - relax,I need a vacation.
holiday,假期,/ˈhɑlɪˌdeɪ/,noun,a day of celebration or rest - special day,Happy holidays!
manager,管理者,/ˈmænɪʤər/,noun,a person who supervises others - leader,The manager is busy.
employee,员工,/ɪmˈplɔɪi/,noun,a person who works for a company - worker,Every employee works hard.
city,城市,/ˈsɪti/,noun,a large town - many people,I live in a big city.
downtown,市中心,/ˈdaʊnˈtaʊn/,noun,the central part of a city - busy area,I work downtown.
city center,市中心,/ˈsɪti ˈsɛnər/,noun,the main part of a city - lots of shops,The city center is busy.
suburb,郊区,/ˈsəbərb/,noun,an area outside the city center - quieter,We live in the suburbs.
street,街道,/strit/,noun,a road in a city - walk here,Walk down the street.
neighborhood,街区,/ˈneɪbərˌhʊd/,noun,an area of a city - community,I love this neighborhood.
building,建筑,/ˈbɪldɪŋ/,noun,a structure with walls and a roof - where people live or work,That building is tall.
traffic jam,交通堵塞,/ˈtræfɪk ʤæm/,noun,many cars stuck on the road - slow,We're stuck in a traffic jam.
pollution,污染,/pəˈluʃən/,noun,harmful substances in the environment - dirty air,Pollution is a problem.
calm,安静的,/kɑm/,adjective,peaceful and relaxed - tranquil,Stay calm.
quiet,安静的,/kwaɪət/,adjective,making little noise - peaceful,Please be quiet.
pleasant,愉快的，宜人的,/ˈplɛzənt/,adjective,nice and enjoyable - lovely,The weather is pleasant.
countryside,乡村,/ˈkəntriˌsaɪd/,noun,rural areas outside cities - peaceful,The countryside is peaceful.
village,村庄,/ˈvɪlɪʤ/,noun,a small community - quiet,I grew up in a village.
garden,花园,/ˈgɑrdən/,verb,an area with plants and flowers - beautiful,We have a garden.
farm,农场,/fɑrm/,noun,land for growing crops or raising animals - food comes from here,The farm is large.
field,田野,/fild/,noun,an open area of land - grass,Cows are in the field.
forest,森林,/ˈfɔrɪst/,noun,a large area with trees - nature,We walked through the forest.
mountain,山,/ˈmaʊntən/,noun,a very high hill - climb it,The mountain is high.
square,广场,/skwɛr/,noun,an open area in a city - meet here,Meet me at the square.
park,公园,/pɑrk/,noun,a public area with grass and trees - play here,Let's go to the park.
train station,火车站,/treɪn ˈsteɪʃən/,noun,a place where trains stop - get on train,The train station is busy.
airport,机场,/ˈɛrˌpɔrt/,noun,a place where planes land - fly away,We're at the airport.
bridge,桥,/brɪʤ/,noun,a structure crossing water - walk over,Cross the bridge.
be,是,/bi/,verb,"to exist or have a quality - is, am, are",Be careful!
have,吃/喝；“来一份/喝一杯”,/hæv/,verb,to possess or own - got it,I have a cat.
go,去,/goʊ/,verb,to move to another place - travel,Let's go!
come,来,/kəm/,verb,to move toward the speaker - approach,Come here!
do,做,/du/,verb,to perform an action - act,What do you do?
make,做,/meɪk/,verb,to create or produce - build,Make a wish.
want,想要,/wɔnt/,verb,to desire something - wish for,What do you want?
can,能够,/kən/,verb,to be able to - possible,Can you help me?
be able to,能够,/bi ˈeɪbəl tɪ/,verb,to have the ability - can do,I'm able to swim.
must,必须,/məst/,verb,to be required to - have to,You must study.
have to,必须,/hæv tɪ/,verb,to be required to - must,I have to go.
know,认识，熟悉,/noʊ/,verb,to have information - understand,I know him.
be familiar with,认识，熟悉,/bi fəˈmɪljər wɪθ/,verb,to know about something - recognize,I'm familiar with this.
eat,吃,/it/,verb,to consume food - chew and swallow,Let's eat!
drink,喝,/drɪŋk/,verb,to consume liquid - swallow,Drink water.
have,吃/喝；“来一份/喝一杯”,/hæv/,verb,to possess or own - got it,I have a cat.
take,拿，取,/teɪk/,verb,to get or carry - grab,Take this.
cook,做饭,/kʊk/,verb,a person who prepares food - chef,I cook dinner.
prepare,准备,/priˈpɛr/,verb,to get ready - set up,Prepare for the exam.
sleep,睡觉,/slip/,verb,to rest with eyes closed - dream,I sleep eight hours.
rest,休息,/rɛst/,verb,to rest,Rest a bit.
go to bed,上床睡觉,/goʊ tɪ bɛd/,noun,a go to bed,It's time to go to bed.
fall asleep,入睡,/fɔl əsˈlip/,noun,a fall asleep,I fall asleep quickly.
work,工作,/wərk/,verb,activities done for money - job,I work every day.
study,学习,/ˈstədi/,verb,to study,I study every day.
learn,学习,/lərn/,verb,to learn,I learn every day.
teach,教,/tiʧ/,verb,to give instruction - educate,I teach English.
buy,买,/baɪ/,verb,to purchase - pay money,I want to buy a car.
sell,卖,/sɛl/,verb,to give in exchange for money - trade,I sell my old books.
pay,付钱,/peɪ/,verb,to give money - spend,Pay the bill.
give,给,/gɪv/,verb,to provide - hand over,Give me that.
take (a bus,乘坐,/teɪk/,noun,a take (a bus,I take a bus to work.
train),乘坐,/treɪn)/,noun,a train),I take the train to the city.
put on,穿上,/pʊt ɔn/,verb,to place clothing on your body - wear,Put on your coat.
wear,穿着,/wɛr/,verb,to have clothing on - dressed,What will you wear?
carry,携带,/ˈkɛri/,verb,to hold and transport - bring,Can you carry this?
speak,说,/spik/,verb,to talk - say words,Speak slowly.
say,说,/seɪ/,verb,to express in words - tell,What did you say?
tell,告诉,/tɛl/,verb,to inform someone - communicate,Tell me a story.
talk,聊天，谈话,/tɔk/,verb,to have a conversation - chat,Let's talk.
explain,解释,/ɪkˈspleɪn/,verb,to make clear - help understand,Explain this to me.
ask,问,/æsk/,verb,to request information - question,Ask a question.
answer,回答,/ˈænsər/,verb,to respond - reply,Answer the question.
listen,听,/ˈlɪsən/,verb,to pay attention to sound - hear,Listen carefully.
hear,听到,/hir/,verb,to hear,I hear every day.
look (at),看,/lʊk/,noun,to direct your eyes - see,Look at that!
watch,观看,/wɔʧ/,verb,to observe carefully - view,Watch this movie.
see,看见,/si/,verb,to see,I see every day.
read,读,/rɛd/,verb,to look at and understand words - books,I read books.
write,写,/raɪt/,verb,to create words on paper - pen,Write your name.
understand,理解,/ˌəndərˈstænd/,verb,to comprehend - get it,Do you understand?
walk,走,/wɔk/,verb,to move on foot - step,Let's walk.
run,跑,/rən/,verb,to move quickly on foot - fast,Run fast!
jump,跳,/ʤəmp/,verb,to spring into the air - hop,Jump high!
go up,上，爬,/goʊ əp/,noun,to move upward - climb,Go up the stairs.
climb,上，爬,/klaɪm/,verb,to go up - ascend,Climb the mountain.
go down,下,/goʊ daʊn/,noun,to move downward - descend,Go down slowly.
enter,进入,/ˈɛnər/,verb,to go into - come in,Enter the room.
go out,出去,/goʊ aʊt/,noun,to leave - exit,Let's go out.
arrive,到达,/əraɪv/,verb,to arrive,When do you arrive?
leave,离开,/liv/,verb,to leave,Don't leave!
quit,离开，辞职,/kwɪt/,verb,to stop doing something - give up,I quit my job.
sit down,坐下,/sɪt daʊn/,verb,to take a seat - rest,"Sit down, please."
stand up,站起来,/stænd əp/,verb,to rise to your feet - get up,Stand up!
stay,停留,/steɪ/,verb,to remain - don't leave,Stay here.
live,居住；生活,/lɪv/,verb,to reside - home,Where do you live?
pass,经过，通过,/pæs/,verb,to go by - move past,Pass me the salt.
cross,穿过,/krɔs/,verb,to go across - traverse,Cross the street.
turn,转弯,/tərn/,verb,to change direction - rotate,Turn left.
stop,停止,/stɑp/,verb,to cease movement - halt,Stop here.
like,喜欢,/laɪk/,verb,to enjoy - love,I like coffee.
love,爱,/ləv/,verb,strong affection - deep care,I love you.
adore,非常喜欢，热爱,/əˈdɔr/,verb,to love very much - extreme like,I adore chocolate.
prefer,更喜欢,/prɪˈfər/,verb,to like more - choose,I prefer tea.
hate,讨厌,/heɪt/,verb,to dislike strongly - despise,I hate waiting.
feel like,想要,/fil laɪk/,verb,to want to - desire,I feel like eating.
feel,感觉,/fil/,verb,to feel,I feel every day.
smell,闻,/smɛl/,verb,to perceive with your nose - sniff,This smells good.
touch,触摸,/təʧ/,verb,to touch,I touch every day.
taste,品尝,/teɪst/,verb,to taste,I taste every day.
think,想，认为,/θɪŋk/,verb,to use your mind - consider,I think so.
believe,相信,/bɪˈliv/,verb,to accept as true - trust,I believe you.
find,发现；觉得,/faɪnd/,verb,to discover - locate,I find it difficult.
seem,似乎,/sim/,verb,to appear - look like,It seems easy.
hope,希望,/hoʊp/,verb,to want something to happen - wish,I hope so.
wish,祝愿,/wɪʃ/,verb,to want - desire,I wish you well.
need,需要,/nid/,verb,to require - must have,I need help.
