word,translation,pronunciation,partOfSpeech,definition,exampleSentence
a leaf,一片，通常用于薄叶或薄片,/ə lif/,noun,a a leaf - thing or person,A leaf fell from the tree.
a pinch,一撮，用于盐或香料,/ə pɪnʧ/,noun,a a pinch - thing or person,Add a pinch of salt.
a bar,一块，通常用于固体食物，如巧克力,/ə bɑr/,noun,a a bar - thing or person,A bar of chocolate.
to cook,做饭,/kʊk/,verb,to prepare food by heating it - make delicious meals,I cook dinner every night.
to boil,煮,/bɔɪl/,verb,to boil - action,Boil the water.
to fry,炸,/fraɪ/,verb,to fry - action,Fry the eggs.
to roast,烤,/roʊst/,verb,to roast - action,Roast the chicken.
to grill,烤,/grɪl/,verb,to grill - action,Grill the meat.
to steam,蒸,/stim/,verb,to steam - action,Steam the vegetables.
to braise,炖,/breɪz/,verb,to braise - action,Braise the beef.
to put in the oven,放入烤箱,/pʊt ɪn ðə ˈəvən/,verb,to put in the oven - action,Put it in the oven.
to preheat the oven,预热烤箱,/preheat* ðə ˈəvən/,verb,to preheat the oven - action,Preheat the oven to 180°C.
to take out of the oven,取出烤箱,/teɪk aʊt əv ðə ˈəvən/,verb,to take out of the oven - action,Take it out of the oven.
to let cool,让冷却,/lɛt kul/,verb,to let cool - action,Let it cool down.
to serve,服务,/sərv/,verb,to bring food to customers - deliver,Serve the food hot.
to prepare,准备,/priˈpɛr/,verb,to prepare - action,Prepare the meal.
to wash,洗澡,/wɑʃ/,verb,to clean something with water and soap,Wash the vegetables.
to peel,削皮,/pil/,verb,to peel - action,Peel the apple.
to cut,切,/kət/,verb,to cut - action,Cut the bread.
to cut into pieces,切碎,/kət ˈɪntu ˈpisɪz/,verb,to cut inpieces - action,Cut it into pieces.
to chop,切碎,/ʧɑp/,verb,to chop - action,Chop the onions.
to pour,倒入,/pɔr/,verb,to pour - action,Pour the water.
to grate,磨碎,/greɪt/,verb,to grate - action,Grate the cheese.
to mix,混合,/mɪks/,verb,to mix - action,Mix the ingredients.
to beat,打,/bit/,verb,to beat - action,Beat the eggs.
to knead,揉,/nid/,verb,to knead - action,Knead the dough.
to salt,加盐,/sɔlt/,verb,to salt - action,Salt the food.
to pepper,加胡椒,/ˈpɛpər/,verb,to pepper - action,Pepper the steak.
to season,调味,/ˈsizən/,verb,to season - action,Season to taste.
to add,添加,/æd/,verb,to add - action,Add some sugar.
to taste,尝一尝,/teɪst/,verb,to experience flavor - try food,"Taste this, it's good."
knife,刀,/naɪf/,noun,a knife - thing or person,Be careful with the knife.
saucepan,平底锅,/ˈsɔˌspæn/,noun,a saucepan - thing or person,Heat water in a saucepan.
frying pan,煎锅,/fraɪɪŋ pæn/,noun,a frying pan - thing or person,Use a frying pan.
oven,烤箱,/ˈəvən/,noun,a oven - thing or person,Preheat the oven.
mixer,搅拌机,/ˈmɪksər/,noun,a mixer - thing or person,Use a mixer.
cutting board,砧板,/ˈkətɪŋ bɔrd/,noun,a cutting board - thing or person,Cut on the cutting board.
carrot,胡萝卜,/ˈkɛrət/,noun,a carrot - thing or person,Rabbits love carrots.
tomato,番茄,/təˈmɑˌtoʊ/,noun,a tomato - thing or person,Tomatoes are red.
potato,土豆,/pəˈteɪˌtoʊ/,noun,a potato - thing or person,I like baked potatoes.
onion,洋葱,/ˈənjən/,noun,a onion - thing or person,Onions make me cry.
garlic,大蒜,/ˈgɑrlɪk/,noun,a garlic - thing or person,Add some garlic.
bell pepper,甜椒,/bɛl ˈpɛpər/,noun,a bell pepper - thing or person,Bell peppers are colorful.
zucchini,西葫芦,/zuˈkini/,noun,a zucchini - thing or person,Zucchini is healthy.
eggplant,茄子,/ˈɛgˌplænt/,noun,a eggplant - thing or person,Eggplant is purple.
cabbage,卷心菜,/ˈkæbɪʤ/,noun,a cabbage - thing or person,Cabbage is green.
lettuce,生菜,/ˈlɛtəs/,noun,a lettuce - thing or person,Lettuce is fresh.
avocado,鳄梨,/ˌævəˈkɑdoʊ/,noun,a avocado - thing or person,Avocado is creamy.
beet,甜菜,/bit/,noun,a beet - thing or person,Beets are red.
celery,芹菜,/ˈsɛləri/,noun,a celery - thing or person,Celery is crunchy.
squash,南瓜,/skwɑʃ/,noun,a squash - thing or person,Squash is delicious.
leek,韭葱,/lik/,noun,a leek - thing or person,Leeks are in the soup.
flour,面粉,/flaʊər/,noun,a flour - thing or person,Add flour to the mix.
rice,大米,/raɪs/,noun,a rice - thing or person,Rice is a staple food.
lentils,扁豆,/ˈlɛntəlz/,noun,multiple lentil - more than one,Lentils are healthy.
chickpeas,鹰嘴豆,/chickpeas*/,noun,multiple chickpea - more than one,Chickpeas are in hummus.
pasta,面条,/ˈpɑstə/,noun,"Italian noodles - spaghetti, etc.",I love pasta.
almond,杏仁,/ˈɑmənd/,noun,a almond - thing or person,Almonds are nutritious.
banana,香蕉,/bəˈnænə/,noun,a banana - thing or person,I eat a banana.
raspberry,树莓,/ˈræzˌbɛri/,noun,a raspberry - thing or person,Raspberries are sweet.
kiwi,猕猴桃,/ˈkiwi/,noun,a kiwi - thing or person,Kiwi is green inside.
blackberry,黑莓,/ˈblækˌbɛri/,noun,a blackberry - thing or person,Blackberries are dark.
blueberry,蓝莓,/ˈbluˌbɛri/,noun,a blueberry - thing or person,Blueberries are small.
pear,梨,/pɛr/,noun,a pear - thing or person,I prefer pears.
plum,李子,/pləm/,noun,a plum - thing or person,Plums are juicy.
raisins,葡萄干,/ˈreɪzɪnz/,noun,multiple raisin - more than one,Raisins are dried grapes.
cod,鳕鱼,/ˈsiˈoʊˈdi/,noun,a cod - thing or person,Cod is a white fish.
shrimp,虾,/ʃrɪmp/,noun,a small sea creature - delicious,I love shrimp.
salmon,三文鱼,/ˈsæmən/,noun,a type of fish - pink and healthy,Salmon is pink.
beef,牛肉,/bif/,noun,meat from a cow - red meat,Beef is expensive.
chicken,鸡肉,/ˈʧɪkən/,noun,meat from a chicken - white meat,Chicken is delicious.
lamb,羊肉,/læm/,noun,meat from a sheep - tender,Lamb is tender.
sugar,糖,/ˈʃʊgər/,noun,a sugar - thing or person,I don't take sugar.
salt,盐,/sɔlt/,verb,to salt - action,Pass me the salt.
oil,油,/ɔɪl/,noun,a oil - thing or person,Add some oil.
butter,黄油,/ˈbətər/,noun,a butter - thing or person,Spread butter on bread.
eggs,鸡蛋,/ɛgz/,noun,multiple egg - more than one,I had two eggs.
parsley,欧芹,/ˈpɑrsli/,noun,a parsley - thing or person,Garnish with parsley.
basil,罗勒,/ˈbæzəl/,noun,a basil - thing or person,Basil smells good.
thyme,百里香,/θaɪm/,noun,a thyme - thing or person,Add thyme to the dish.
pepper,胡椒,/ˈpɛpər/,verb,to pepper - action,Add some pepper.
cinnamon,肉桂,/ˈsɪnəmən/,noun,a cinnamon - thing or person,Cinnamon is spicy.
ginger,姜,/ˈʤɪnʤər/,noun,a ginger - thing or person,Ginger is strong.
mint,薄荷,/mɪnt/,noun,a mint - thing or person,Mint is refreshing.
restaurant,餐厅,/ˈrestrɒnt/,noun,a restaurant - thing or person,We had dinner at a restaurant.
café,咖啡馆,/kæˈfeɪ/,noun,a café - thing or person,Let's meet at the café.
pizzeria,比萨店,/ˌpitsərˈiə/,noun,a pizzeria - thing or person,We ordered pizza from the pizzeria.
fast-food restaurant,快餐店,/fast-food* ˈrɛˌstrɑnt/,noun,a quick restaurant - fast service,I don't like fast-food restaurants.
vegetarian restaurant,素食餐厅,/ˌvɛʤəˈtɛˌriən ˈrɛˌstrɑnt/,noun,a restaurant with no meat - only plants,This is a vegetarian restaurant.
waiter,服务员,/ˈweɪtər/,noun,a person who serves food - takes orders,The waiter was friendly.
waitress,女服务员,/ˈweɪtrəs/,noun,a woman who serves food - restaurant staff,The waitress took our order.
cook,厨师,/kʊk/,verb,a person who prepares food - chef,The cook is busy.
chef,主厨,/ʃɛf/,noun,a professional cook - expert,The chef is talented.
customer,顾客,/ˈkəstəmər/,noun,a person who buys - client,The customer is always right.
table,桌子,/ˈteɪbəl/,noun,a flat surface for eating - furniture,Can we get a table?
chair,椅子,/ʧɛr/,noun,a seat - sit on it,Sit in this chair.
menu,菜单,/ˈmɛnju/,noun,a list of food - what you can order,Can I see the menu?
terrace,露台,/ˈtɛrəs/,noun,an outdoor eating area - fresh air,We sat on the terrace.
dining room,餐厅,/ˈdaɪnɪŋ rum/,noun,a room for eating - formal,The dining room is elegant.
to order,点菜,/ˈɔrdər/,verb,to ask for food - request,Are you ready to order?
to order dishes,点菜,/ˈɔrdər ˈdɪʃɪz/,verb,to request food - choose meals,I'd like to order dishes.
to serve,服务,/sərv/,verb,to bring food to customers - deliver,Serve the food hot.
to take the order,接受点单,/teɪk ðə ˈɔrdər/,verb,to write down what customer wants - note,The waiter took the order.
to bring,端来,/brɪŋ/,verb,to carry something - deliver,Bring me the bill.
bill,账单,/bɪl/,noun,a paper showing what you owe - check,Can we have the bill?
check,账单,/ʧɛk/,noun,the bill - what you pay,Could I get the check?
tip,小费,/tɪp/,noun,extra money for service - thank you,Don't forget the tip.
service,服务,/ˈsərvɪs/,noun,how well staff helps - quality,The service was excellent.
to take away,外卖,/teɪk əˈweɪ/,verb,to get food to go - carry out,I'll take it away.
to go,外卖,/goʊ/,verb,to get food to take home - takeout,"To go, please."
dine in,堂食,/daɪn ɪn/,noun,to eat at the restaurant - stay,We'll dine in.
atmosphere,氛围,/ˈætməsˌfɪr/,noun,the feeling of a place - mood,The atmosphere is nice.
homemade,自制的,/ˈhoʊˈmeɪd/,adjective,made at home - not store-bought,This is homemade.
dish,菜,/dɪʃ/,noun,a type of food - meal,What dish do you recommend?
main course,主菜,/meɪn kɔrs/,noun,the main part of meal - biggest dish,What's your main course?
starter,前菜,/ˈstɑrtər/,noun,food before main course - appetizer,I'll have a starter.
appetizer,前菜,/ˈæpəˌtaɪzər/,noun,food before main meal - starter,We shared an appetizer.
dessert,甜点,/dɪˈzərt/,noun,sweet food after meal - treat,What would you like for dessert?
dish of the day,今日特菜,/dɪʃ əv ðə deɪ/,noun,special food today - daily special,What's the dish of the day?
specialty,特色菜,/ˈspɛʃəlti/,noun,food the restaurant is known for - famous dish,This is our specialty.
steak,牛排,/steɪk/,noun,a piece of beef - grilled meat,I'll have a steak.
chicken,鸡肉,/ˈʧɪkən/,noun,meat from a chicken - white meat,Chicken is delicious.
lamb,羊肉,/læm/,noun,meat from a sheep - tender,Lamb is tender.
pork,猪肉,/pɔrk/,noun,meat from a pig - common meat,Pork is popular.
beef,牛肉,/bif/,noun,meat from a cow - red meat,Beef is expensive.
duck,鸭肉,/dək/,noun,meat from a duck - rich flavor,Duck is rich.
fish,鱼,/fɪʃ/,verb,an animal that lives in water - swims with fins,Fish is healthy.
salmon,三文鱼,/ˈsæmən/,noun,a type of fish - pink and healthy,Salmon is pink.
tuna,金枪鱼,/ˈtunə/,noun,a type of fish - canned or fresh,Tuna is a fish.
seafood,海鲜,/ˈsiˌfud/,noun,food from the sea - fish and shellfish,We ordered seafood.
shrimp,虾,/ʃrɪmp/,noun,a small sea creature - delicious,I love shrimp.
salad,沙拉,/ˈsæləd/,noun,mixed vegetables - fresh and healthy,I'll have a salad.
vegetables,蔬菜,/ˈvɛʤtəbəlz/,noun,plants you eat - healthy food,Eat your vegetables.
pasta,面条,/ˈpɑstə/,noun,"Italian noodles - spaghetti, etc.",I love pasta.
pizza,比萨,/ˈpitsə/,noun,Italian flatbread with toppings - popular food,Pizza is my favorite.
risotto,意大利调味饭,/ˌriˈsɔˌtoʊ/,noun,Italian rice dish - creamy,Risotto is creamy.
ratatouille,蔬菜炖菜,/ˌrætəˈtuj/,noun,French vegetable dish - stewed,Ratatouille is a vegetable dish.
crepes,可丽饼,/kreɪps/,noun,thin French pancakes - delicate,Crepes are thin pancakes.
couscous,古斯米,/couscous*/,noun,grain dish from North Africa - small grains,Couscous is a grain dish.
tartare,鞑靼生肉/鱼,/tartare*/,noun,raw meat or fish - finely chopped,Tartare is raw meat.
pâté,肉馅饼,/pâté*é/,noun,a spread made from meat - smooth,Pâté is a spread.
sausage,香肠,/ˈsɔsɪʤ/,noun,ground meat in a casing - tasty,Sausage is tasty.
broth,清汤,/brɔθ/,noun,thin soup - clear liquid,The broth is hot.
leeks,韭菜,/liks/,noun,a type of onion - long and green,Leeks are in the soup.
sauerkraut,酸菜,/ˈsaʊərˌkraʊt/,noun,fermented cabbage - German dish,Sauerkraut is fermented cabbage.
mashed potatoes,土豆泥,/mæʃt pəˈteɪtoʊz/,noun,crushed potatoes - creamy side dish,Mashed potatoes are creamy.
vinaigrette,醋汁,/vinaigrette*/,noun,salad dressing - oil and vinegar,Add vinaigrette to the salad.
custard,蛋奶甜点,/ˈkəstərd/,noun,sweet creamy dessert - egg-based,Custard is sweet.
to like,喜欢,/laɪk/,verb,to enjoy something - find pleasant,I like coffee.
to love,非常喜欢,/ləv/,verb,to enjoy very much - adore,I love chocolate.
to adore,非常喜欢,/əˈdɔr/,verb,to love extremely - very fond of,I adore ice cream.
to prefer,更喜欢,/prɪˈfər/,verb,to like more - choose,I prefer tea.
to hate,讨厌,/heɪt/,verb,to dislike strongly - despise,I hate waiting.
to detest,讨厌,/dɪˈtɛst/,verb,to hate very much - strongly dislike,I detest onions.
to appreciate,欣赏,/əˈpriʃiˌeɪt/,verb,to value something - be grateful,I appreciate good food.
to be a fan of,是...的粉丝,/bi ə fæn əv/,verb,to really like something - enthusiast,I'm a fan of Italian food.
good,好的,/gʊd/,noun,pleasant - nice,This tastes good.
delicious,美味的,/dɪˈlɪʃəs/,adjective,tasting very good - yummy,This is delicious!
excellent,极好的,/ˈɛksələnt/,noun,very good - outstanding,The food is excellent.
savory,可口的,/ˈseɪvəri/,adjective,tasty and not sweet - flavorful,This is savory.
tasty,美味的,/ˈteɪsti/,adjective,having good flavor - delicious,This is tasty.
bad,闻起来好/坏,/bæd/,adjective,not good - unpleasant,This tastes bad.
bland,淡而无味的,/blænd/,adjective,having little flavor - boring,This is bland.
spicy,辣的,/ˈspaɪsi/,adjective,having hot flavor - makes mouth burn,I don't like spicy food.
sweet,甜的,/swit/,adjective,tasting like sugar - sugary,This cake is sweet.
salty,咸的,/ˈsɔlti/,adjective,tasting like salt - savory,This is too salty.
bitter,苦的,/ˈbɪtər/,adjective,having sharp taste - like coffee,Coffee is bitter.
sour,酸的,/saʊər/,adjective,having tart taste - like lemon,Lemons are sour.
greasy,油腻的,/ˈgrisi/,adjective,having too much oil - oily,This is too greasy.
oily,油腻的,/ˈɔɪli/,adjective,covered in oil - greasy,The food is oily.
to feel like,想要,/fil laɪk/,verb,to want something - desire,I feel like eating pizza.
preferably,优先,/ˈprɛfərəbli/,adverb,ideally - if possible,"Preferably, I'd like fish."
a lot,很多,/ə lɔt/,adverb,very much - greatly,I like it a lot.
much,很多,/məʧ/,adverb,a large amount - many,I don't like it much.
a little,一点,/ə ˈlɪtəl/,adverb,a small amount - slightly,I like it a little.
a bit,一点,/ə bɪt/,adverb,a small amount - little,Add a bit of salt.
quite,相当,/kwaɪt/,adverb,fairly - rather,It's quite good.
rather,相当,/ˈrəðər/,adverb,quite - somewhat,I'd rather have fish.
very,非常,/ˈvɛri/,adverb,extremely - greatly,It's very good.
too,太,/tu/,adverb,more than needed - excessively,It's too spicy.
not at all,一点也不,/nɑt æt ɔl/,adverb,not in any way - absolutely not,I don't like it at all.
medium,五分熟,/ˈmidiəm/,adjective,"not too much, not too little - middle",I'll have it medium.
well done,全熟,/wɛl dən/,adjective,completely cooked - fully done,I want it well done.
rare,半生的,/rɛr/,adjective,lightly cooked - still pink,I like my steak rare.
to taste,尝一尝,/teɪst/,verb,to experience flavor - try food,"Taste this, it's good."
to savor,品味,/ˈseɪvər/,verb,to enjoy slowly - taste carefully,Savor every bite.
to try,尝试,/traɪ/,verb,to test something - attempt,Try this dish.
to snack,吃零食,/snæk/,verb,to snack - action,Don't snack before dinner.
to enjoy the meal,享受美食,/ˌɛnˈʤɔɪ ðə mil/,verb,to enjoy the meal - action,Enjoy your meal!
allergic (to...),对...过敏,/əˈlərʤɪk/,noun,a allergic (to...) - thing or person,I'm allergic to nuts.
picky,难搞的，挑剔的,/ˈpɪki/,adjective,having the quality of picky - characteristic,She is picky about food.
food lover,爱吃的,/fud ˈləvər/,noun,a food lover - thing or person,He is a food lover.
gourmand,爱吃的,/gourmand*/,noun,a gourmand - thing or person,She is a gourmand.
gourmet,美食家,/ˈgʊrˌmeɪ/,noun,a gourmet - thing or person,He is a gourmet.
vegan,纯素食者,/ˈvɛgən/,noun,a vegan - thing or person,She is vegan.
vegetarian,素食者,/ˌvɛʤəˈtɛˌriən/,noun,a vegetarian - thing or person,I'm vegetarian.
